transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday
T0000001,C007297,26-35,Male,San Francisco,Loyal,P2713,Footwear,153.73,35,99.92,1,99.92,Credit Card,2025-12-01,0,0,0
T0000002,C001640,56+,Other,Dallas,Returning,P7219,Beauty,230.05,40,138.03,1,138.03,PayPal,2025-11-24,5,0,0
T0000003,C018025,26-35,Male,Phoenix,New,P5521,Groceries,174.67,25,131.0,1,131.0,Credit Card,2025-11-24,14,0,0
T0000004,C016050,18-25,Other,Miami,VIP,P3003,Sports,399.61,40,239.77,1,239.77,Credit Card,2025-11-30,23,1,0
T0000005,C014629,46-55,Male,Los Angeles,Loyal,P4633,Footwear,120.87,30,84.61,2,169.22,Debit Card,2025-11-25,2,0,0
T0000006,C009145,46-55,Other,Seattle,Returning,P4013,Accessories,192.91,40,115.75,1,115.75,Gift Card,2025-12-01,17,0,0
T0000007,C006718,46-55,Female,San Francisco,Returning,P1445,Home & Kitchen,792.57,25,594.43,1,594.43,Credit Card,2025-11-24,5,0,0
T0000008,C005698,46-55,Female,Seattle,Returning,P7501,Footwear,209.35,25,157.01,4,628.04,PayPal,2025-11-27,17,0,0
T0000009,C027652,36-45,Female,Los Angeles,Returning,P4350,Groceries,114.32,35,74.31,2,148.62,Cash,2025-12-01,18,0,0
T0000010,C002083,36-45,Other,San Francisco,New,P6243,Sports,265.56,30,185.89,1,185.89,Debit Card,2025-11-27,5,0,0
T0000011,C001953,18-25,Other,New York,New,P9905,Beauty,31.66,20,25.33,1,25.33,Mobile Wallet,2025-11-26,10,0,0
T0000012,C006141,26-35,Other,San Francisco,Returning,P8474,Groceries,28.7,20,22.96,5,114.8,Debit Card,2025-11-29,2,1,0
T0000013,C014329,18-25,Other,Chicago,New,P3499,Groceries,167.89,40,100.73,1,100.73,Gift Card,2025-11-27,15,0,0
T0000014,C015248,26-35,Male,Los Angeles,Loyal,P2203,Home & Kitchen,1063.85,50,531.92,1,531.92,Cash,2025-11-26,16,0,0
T0000015,C033119,36-45,Male,New York,Loyal,P3336,Toys,269.17,30,188.42,1,188.42,Mobile Wallet,2025-11-28,10,0,1
T0000016,C001740,26-35,Female,Seattle,New,P6387,Sports,295.26,20,236.21,1,236.21,Cash,2025-12-01,12,0,0
T0000017,C013032,46-55,Male,Phoenix,New,P2433,Clothing,281.94,5,267.84,1,267.84,Credit Card,2025-11-24,15,0,0
T0000018,C027494,26-35,Female,Houston,New,P7967,Groceries,168.35,20,134.68,2,269.36,Gift Card,2025-11-29,13,1,0
T0000019,C014447,56+,Other,Dallas,New,P1229,Toys,121.41,25,91.06,1,91.06,Mobile Wallet,2025-11-26,10,0,0
T0000020,C029440,46-55,Female,San Francisco,Returning,P4836,Clothing,82.44,50,41.22,1,41.22,Debit Card,2025-11-30,6,1,0
T0000021,C018232,36-45,Male,San Francisco,Loyal,P9986,Sports,442.57,35,287.67,1,287.67,Mobile Wallet,2025-11-28,6,0,1
T0000022,C000426,26-35,Female,Phoenix,Returning,P9909,Electronics,1854.46,35,1205.4,2,2410.8,Credit Card,2025-11-26,3,0,0
T0000023,C010464,18-25,Male,Houston,VIP,P1447,Accessories,446.19,30,312.33,1,312.33,PayPal,2025-12-01,2,0,0
T0000024,C027697,56+,Other,Chicago,Returning,P6948,Toys,24.64,20,19.71,1,19.71,Gift Card,2025-11-29,17,1,0
T0000025,C022299,26-35,Female,Houston,New,P3714,Books,45.55,25,34.16,1,34.16,Credit Card,2025-12-01,18,0,0
T0000026,C018211,18-25,Male,Dallas,Loyal,P2655,Electronics,231.94,40,139.16,1,139.16,Debit Card,2025-11-24,2,0,0
T0000027,C010190,36-45,Other,Houston,New,P6536,Accessories,113.08,50,56.54,1,56.54,Mobile Wallet,2025-11-27,14,0,0
T0000028,C014111,36-45,Other,Seattle,Loyal,P3187,Home & Kitchen,494.54,30,346.18,1,346.18,Mobile Wallet,2025-11-26,1,0,0
T0000029,C022060,36-45,Male,Houston,New,P7094,Footwear,69.38,15,58.97,2,117.94,Cash,2025-12-01,22,0,0
T0000030,C006699,26-35,Male,Houston,Returning,P8777,Beauty,207.35,25,155.51,1,155.51,Debit Card,2025-11-27,10,0,0
T0000031,C006079,36-45,Male,Miami,Loyal,P5857,Books,28.33,5,26.91,2,53.82,PayPal,2025-11-27,2,0,0
T0000032,C024899,56+,Other,Miami,Loyal,P2838,Home & Kitchen,508.32,60,203.33,5,1016.65,PayPal,2025-12-01,2,0,0
T0000033,C006339,36-45,Male,Chicago,Loyal,P3993,Sports,484.97,40,290.98,2,581.96,PayPal,2025-11-29,8,1,0
T0000034,C023527,26-35,Male,Atlanta,Returning,P3465,Home & Kitchen,162.15,40,97.29,1,97.29,Debit Card,2025-11-27,5,0,0
T0000035,C022542,46-55,Male,Seattle,Loyal,P2338,Footwear,228.28,25,171.21,1,171.21,Cash,2025-11-26,17,0,0
T0000036,C017336,56+,Other,Seattle,Loyal,P6140,Sports,565.5,25,424.12,3,1272.36,Gift Card,2025-12-01,23,0,0
T0000037,C002848,36-45,Female,Phoenix,Returning,P4214,Books,57.24,35,37.21,1,37.21,Debit Card,2025-12-01,9,0,0
T0000038,C030109,26-35,Female,Phoenix,Loyal,P5372,Footwear,106.84,5,101.5,1,101.5,Gift Card,2025-11-25,19,0,0
T0000039,C008181,56+,Female,Phoenix,Returning,P8107,Clothing,284.1,30,198.87,1,198.87,Debit Card,2025-11-25,1,0,0
T0000040,C024808,18-25,Male,Seattle,Loyal,P2391,Beauty,23.0,25,17.25,2,34.5,PayPal,2025-11-27,17,0,0
T0000041,C005165,46-55,Male,Seattle,Loyal,P2429,Books,40.83,40,24.5,1,24.5,PayPal,2025-11-28,13,0,1
T0000042,C019214,18-25,Other,San Francisco,Loyal,P9793,Clothing,248.85,35,161.75,1,161.75,Credit Card,2025-11-30,20,1,0
T0000043,C023701,46-55,Other,Houston,Loyal,P8357,Accessories,85.43,5,81.16,2,162.32,Gift Card,2025-11-27,14,0,0
T0000044,C012602,46-55,Other,Los Angeles,Loyal,P9628,Books,14.67,5,13.94,1,13.94,Cash,2025-11-28,21,0,1
T0000045,C004559,46-55,Female,Houston,VIP,P8488,Accessories,234.42,30,164.09,1,164.09,PayPal,2025-12-01,18,0,0
T0000046,C003004,18-25,Other,Houston,New,P6391,Sports,212.43,25,159.32,1,159.32,Gift Card,2025-11-29,7,1,0
T0000047,C014936,56+,Other,San Francisco,New,P3168,Clothing,243.2,25,182.4,1,182.4,PayPal,2025-11-26,5,0,0
T0000048,C018966,26-35,Other,Phoenix,Returning,P8307,Beauty,90.91,50,45.46,1,45.46,PayPal,2025-12-01,17,0,0
T0000049,C005230,36-45,Male,Atlanta,Returning,P4181,Footwear,244.34,25,183.26,1,183.26,Credit Card,2025-11-24,3,0,0
T0000050,C015257,26-35,Male,Miami,Returning,P6482,Groceries,114.24,5,108.53,1,108.53,Gift Card,2025-11-28,17,0,1
T0000051,C006620,36-45,Female,Miami,Loyal,P7749,Home & Kitchen,726.47,35,472.21,1,472.21,Debit Card,2025-11-29,6,1,0
T0000052,C024912,36-45,Female,Miami,New,P3934,Electronics,1351.18,10,1216.06,1,1216.06,Cash,2025-11-28,21,0,1
T0000053,C018218,18-25,Female,Los Angeles,Returning,P4353,Beauty,42.51,30,29.76,2,59.52,Gift Card,2025-11-27,10,0,0
T0000054,C029715,26-35,Other,New York,New,P3841,Clothing,37.37,20,29.9,1,29.9,Mobile Wallet,2025-11-24,1,0,0
T0000055,C023910,56+,Male,Miami,Returning,P7360,Groceries,111.06,40,66.64,1,66.64,Mobile Wallet,2025-11-26,8,0,0
